spec_id,family,deposit_timing,W12,W24,max_drawdown,infeasible_rate,attempts,costs,margin_calls,asset_identity_failures,evidence_tier,sample_size_gate,dual_target_pass
O2_multiscale_trend_call-005,O2_multiscale_trend_call,ending,390000.0,720000.0,0.0,1.0,271,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O2_multiscale_trend_call-006,O2_multiscale_trend_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O2_multiscale_trend_call-006,O2_multiscale_trend_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O2_multiscale_trend_call-007,O2_multiscale_trend_call,beginning,390000.0,720000.0,0.0,1.0,271,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O2_multiscale_trend_call-007,O2_multiscale_trend_call,ending,390000.0,720000.0,0.0,1.0,271,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O2_multiscale_trend_call-008,O2_multiscale_trend_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O2_multiscale_trend_call-008,O2_multiscale_trend_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O2_multiscale_trend_call-009,O2_multiscale_trend_call,beginning,390000.0,720000.0,0.0,1.0,271,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O2_multiscale_trend_call-009,O2_multiscale_trend_call,ending,390000.0,720000.0,0.0,1.0,271,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O2_multiscale_trend_call-010,O2_multiscale_trend_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O2_multiscale_trend_call-010,O2_multiscale_trend_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O2_multiscale_trend_call-011,O2_multiscale_trend_call,beginning,390000.0,720000.0,0.0,1.0,271,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O2_multiscale_trend_call-011,O2_multiscale_trend_call,ending,390000.0,720000.0,0.0,1.0,271,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
